"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Setd31",4.45465547214501e-07,0.293911821374597,0.481,0.309,0.00967773901323503,"5","Setd3"
"Gnpnat1",4.46533582650436e-07,0.343236326831548,0.171,0.076,0.00970094208308073,"5","Gnpnat1"
"Mettl261",4.50193850716543e-07,0.491910661753978,0.269,0.145,0.00978046140681689,"5","Mettl26"
"Cavin13",4.51062286562685e-07,0.290635974757963,0.981,0.765,0.00979932817557434,"5","Cavin1"
"Taf1a3",4.56525826141377e-07,0.991326763489262,0.157,0.069,0.00991802357292141,"5","Taf1a"
"Nsmce2",4.5811697017229e-07,0.436778274182635,0.218,0.108,0.009952591176993,"5","Nsmce2"
"Tor1a1",4.58738686350647e-07,0.612243959303907,0.176,0.081,0.0099660979609678,"5","Tor1a"
"Tmem243",4.61590082959547e-07,0.370889694154958,0.241,0.123,0.0100280445522962,"5","Tmem243"
"Ttc9c",4.72532642771472e-07,0.935017879938821,0.125,0.049,0.0102657716642102,"5","Ttc9c"
"Cd59a1",4.73073973347774e-07,0.29329786414956,0.412,0.248,0.0102775320709804,"5","Cd59a"
"Asf1a1",4.74028834461855e-07,0.524175880594472,0.204,0.098,0.0102982764286838,"5","Asf1a"
"Snrnp401",4.82210876473225e-07,0.463794515215642,0.167,0.074,0.0104760312913808,"5","Snrnp40"
"C1galt1c11",4.87042564914096e-07,0.809067429562671,0.167,0.075,0.0105809997227587,"5","C1galt1c1"
