"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cxcl1",0,1.84552612311406,0.812,0.602,0,"0","Cxcl1"
"Dcn",0,2.01699528254656,0.909,0.775,0,"0","Dcn"
"Mgp",0,1.44362219123184,0.96,0.917,0,"0","Mgp"
"Gsn",0,1.82678107000024,0.978,0.945,0,"0","Gsn"
"Fbln2",2.63308836481017e-289,2.28820998533166,0.503,0.17,5.72038447255009e-285,"0","Fbln2"
"Cfh",2.19914811480328e-272,1.75473101942927,0.765,0.599,4.77764927941013e-268,"0","Cfh"
"Emp1",5.94311826927895e-262,2.0473966826422,0.564,0.251,1.29114244400085e-257,"0","Emp1"
"Lum",6.27699932456278e-262,1.95594532257553,0.552,0.231,1.36367810326126e-257,"0","Lum"
"Ltbp4",4.12268967494657e-248,1.84043062276479,0.596,0.3,8.95654331882142e-244,"0","Ltbp4"
"Apoe",4.41519404593592e-244,1.8911606522324,0.679,0.434,9.59200906479578e-240,"0","Apoe"
"Dpt",1.43043877163002e-237,2.05374063663315,0.5,0.198,3.10762823136621e-233,"0","Dpt"
"AY036118",1.85324655798782e-237,0.707694495113431,0.985,0.978,4.02617814722853e-233,"0","AY036118"
"Gfpt2",2.19147371762533e-231,2.3549605344323,0.438,0.151,4.76097665154103e-227,"0","Gfpt2"
"Gm42418",1.01883349983107e-226,0.623385211378427,0.999,0.998,2.21341577838299e-222,"0","Gm42418"
"Fbln1",9.41746042975688e-226,2.30079366013819,0.392,0.116,2.04594327836468e-221,"0","Fbln1"
"Mt2",1.40160443933686e-218,0.963501506375039,0.892,0.706,3.04498564445933e-214,"0","Mt2"
"Il6",3.98418904421228e-211,1.62134768995584,0.614,0.342,8.65565069855118e-207,"0","Il6"
"Tmsb4x",6.33621679677399e-211,0.980583255606341,0.864,0.78,1.37654309909915e-206,"0","Tmsb4x"
"Ftl1",6.37544260373501e-205,0.99262444614626,0.889,0.816,1.38506490566143e-200,"0","Ftl1"
"Gpx3",1.1990174434645e-202,2.09895374303847,0.398,0.134,2.60486539592662e-198,"0","Gpx3"
"Ly6a",2.44640633831107e-200,2.21187653547294,0.368,0.112,5.3148177699808e-196,"0","Ly6a"
"Tnfaip6",5.30816893469755e-198,2.08704765461503,0.454,0.186,1.15319970106304e-193,"0","Tnfaip6"
"Clec3b",1.14135089390582e-185,2.16485647975572,0.339,0.1,2.4795848170104e-181,"0","Clec3b"
"Col3a1",2.13717058294374e-185,1.80847888737696,0.521,0.268,4.64300309144528e-181,"0","Col3a1"
"Tnfaip2",3.93391350169911e-181,2.06166540011328,0.364,0.12,8.54642708244132e-177,"0","Tnfaip2"
"B2m",4.80927418750578e-178,1.36837279195848,0.729,0.653,1.04481481723563e-173,"0","B2m"
"Cd34",1.34482038616617e-177,2.0750202926081,0.343,0.107,2.921622288946e-173,"0","Cd34"
"Ly6e",1.42516192216704e-177,2.02944964077266,0.339,0.104,3.09616427590788e-173,"0","Ly6e"
"Cebpd",5.6937941123763e-172,0.912550680240615,0.849,0.695,1.23697677091375e-167,"0","Cebpd"
"Nfkbia",9.31820378393754e-172,0.983496680285759,0.811,0.672,2.02437977206043e-167,"0","Nfkbia"
"Sptbn1",1.3010445755664e-170,0.976203777358727,0.813,0.772,2.826519340418e-166,"0","Sptbn1"
"Cp",2.192335855248e-168,2.29476577152367,0.323,0.101,4.76284964552629e-164,"0","Cp"
"Ccl7",2.07041059753189e-166,2.24768150505641,0.364,0.132,4.49796702313802e-162,"0","Ccl7"
"Abca8a",2.52132487269309e-165,1.97445524297479,0.372,0.138,5.47757828592574e-161,"0","Abca8a"
"Meg3",5.90199700590554e-165,1.67966383641886,0.375,0.136,1.28220884953298e-160,"0","Meg3"
"Ifi27l2a",3.40115985968991e-164,1.87249639322886,0.423,0.181,7.38901979517632e-160,"0","Ifi27l2a"
"Col1a1",1.70193370089458e-163,1.96750682859279,0.403,0.168,3.69745096519348e-159,"0","Col1a1"
"Ahnak",1.35843747475084e-161,0.830730253356502,0.842,0.817,2.9512054138962e-157,"0","Ahnak"
"Ccdc80",4.37383862561914e-161,1.73708374313615,0.572,0.385,9.50216441415758e-157,"0","Ccdc80"
"S100a6",7.44296714448195e-160,1.10210449033781,0.724,0.56,1.6169846121387e-155,"0","S100a6"
"Kdm6b",1.92400916851496e-158,0.810302060591514,0.836,0.69,4.17990991859876e-154,"0","Kdm6b"
"Col6a1",5.40838525834376e-156,2.13307280932621,0.287,0.082,1.17497169737518e-151,"0","Col6a1"
"Col15a1",1.25247371309332e-151,2.13645735105523,0.27,0.073,2.72099914169523e-147,"0","Col15a1"
"Smoc2",1.76090611087641e-149,1.94062186355338,0.326,0.112,3.825568525879e-145,"0","Smoc2"
"Icam1",4.11485906882246e-147,1.88854092862469,0.376,0.156,8.93953132701679e-143,"0","Icam1"
"Mt1",7.98482100780113e-147,0.535175938646129,0.989,0.928,1.7347023639448e-142,"0","Mt1"
"Dpep1",1.49796621614107e-145,2.01875130112029,0.322,0.113,3.25433160456648e-141,"0","Dpep1"
"Pim1",4.73074200976367e-145,1.40213049515058,0.622,0.459,1.02775370162116e-140,"0","Pim1"
"Ptx3",1.48711583137845e-141,2.34125562243901,0.284,0.089,3.23075914366967e-137,"0","Ptx3"
"Pi16",6.06759003123655e-140,2.06953646169001,0.336,0.128,1.31818393428614e-135,"0","Pi16"
"Mfap5",1.02707759387696e-139,1.95792901618609,0.324,0.118,2.2313260726977e-135,"0","Mfap5"
"Ugdh",1.37994354010216e-139,1.71538342516371,0.49,0.287,2.99792734087193e-135,"0","Ugdh"
"S100a10",1.73594693862067e-139,1.9182183361605,0.361,0.149,3.77134472415341e-135,"0","S100a10"
"Ccl2",4.21401090869437e-138,1.76414364091858,0.42,0.202,9.15493869913852e-134,"0","Ccl2"
"Ptgs2",5.66587150574614e-138,1.9827978758534,0.338,0.13,1.23091058462335e-133,"0","Ptgs2"
"Pam",5.40433790563459e-135,1.72775309911147,0.547,0.386,1.17409240999911e-130,"0","Pam"
"Serpinf1",6.45773648239903e-135,2.21282390268829,0.254,0.073,1.40294325080119e-130,"0","Serpinf1"
"C3",8.56380321863534e-134,1.79485988466627,0.383,0.173,1.86048624924853e-129,"0","C3"
"Tnxb",1.11104208263581e-132,2.01314933402936,0.307,0.111,2.41373892452629e-128,"0","Tnxb"
"Ifi205",1.91604842236815e-132,2.12037609428163,0.258,0.075,4.1626151975948e-128,"0","Ifi205"
"Prelp",4.19679981594598e-132,2.08655178740952,0.315,0.118,9.11754760014265e-128,"0","Prelp"
"Klf4",5.90164640970285e-132,0.560261800794659,0.921,0.756,1.28213268250794e-127,"0","Klf4"
"Gja1",2.79828574334012e-131,2.27511494516681,0.233,0.062,6.07927577740641e-127,"0","Gja1"
"Nid1",1.77224114072777e-130,1.80741859062558,0.463,0.271,3.85019387823108e-126,"0","Nid1"
"Mmp2",2.03602188587134e-129,1.99912733370676,0.285,0.096,4.42325754705548e-125,"0","Mmp2"
"Marcks",4.58144679398685e-129,2.03446911864469,0.33,0.133,9.95319315993643e-125,"0","Marcks"
"Iigp1",6.12943510943352e-127,2.49943925817033,0.203,0.047,1.33161977752443e-122,"0","Iigp1"
"Lamb1",2.42213445884671e-126,2.26921790003247,0.237,0.066,5.26208711184449e-122,"0","Lamb1"
"Htra3",9.87369893510244e-125,1.78800022489665,0.324,0.127,2.14506109365101e-120,"0","Htra3"
"Heg1",1.46308413130605e-124,2.0524559399615,0.277,0.095,3.17855027526238e-120,"0","Heg1"
"Medag",4.01573215166234e-123,2.19680848124233,0.22,0.058,8.72417809948644e-119,"0","Medag"
"Tmsb10",1.18944802061899e-121,1.47454431840116,0.579,0.453,2.58407582479476e-117,"0","Tmsb10"
"Igf1",1.21479453767755e-121,2.23878336356656,0.205,0.05,2.63914113310448e-117,"0","Igf1"
"Ace",1.22767628489194e-119,2.27698944414566,0.209,0.053,2.66712672892774e-115,"0","Ace"
"Slc43a3",5.83393535390637e-119,1.91243559207931,0.284,0.103,1.26742245563616e-114,"0","Slc43a3"
"Ptprb",1.84027355131259e-117,2.12459622629012,0.227,0.064,3.99799429022661e-113,"0","Ptprb"
"Vcan",6.04822802152683e-117,2.55041595749759,0.206,0.054,1.3139775376767e-112,"0","Vcan"
"Col6a2",2.17757954923461e-116,2.23590125887431,0.241,0.076,4.73079157071218e-112,"0","Col6a2"
"Ly6c1",7.16557747329638e-116,1.95829941501683,0.258,0.086,1.55672170607364e-111,"0","Ly6c1"
"Scn7a",3.97872243758845e-114,1.91481712260432,0.284,0.106,8.6437744956609e-110,"0","Scn7a"
"Igfbp6",5.42327484045738e-110,2.25934084774955,0.211,0.06,1.17820645908937e-105,"0","Igfbp6"
"Ifi207",1.52926708293825e-109,2.10478180080234,0.223,0.067,3.32233273768334e-105,"0","Ifi207"
"Fbln5",5.49543563977628e-108,1.86018823172578,0.274,0.103,1.1938833927414e-103,"0","Fbln5"
"Pcolce2",8.10580141529963e-108,2.07832945428957,0.213,0.062,1.76098535747385e-103,"0","Pcolce2"
"Celf2",3.64412556758032e-107,2.05492240809648,0.214,0.062,7.91686279556824e-103,"0","Celf2"
"Tpm3",3.29586803344621e-106,0.773216129418599,0.742,0.662,7.16027330266189e-102,"0","Tpm3"
"H2-D1",1.05682383683722e-105,1.15639970150473,0.626,0.55,2.29594978552887e-101,"0","H2-D1"
"Cxcl2",3.25627588136162e-104,1.7763513783331,0.286,0.114,7.07425935225812e-100,"0","Cxcl2"
"Pdgfra",8.80820465407952e-104,2.04063982329725,0.205,0.059,1.91358246109878e-99,"0","Pdgfra"
"Bgn",1.08273103853967e-103,0.787642522355501,0.808,0.766,2.35223318122743e-99,"0","Bgn"
"Bicc1",3.08447837894897e-103,2.03595473211706,0.27,0.106,6.70102927826663e-99,"0","Bicc1"
"Col8a1",5.48436908767085e-102,2.22894189942891,0.258,0.098,1.19147918429649e-97,"0","Col8a1"
"Has1",4.82687942040462e-100,2.1085353588258,0.246,0.09,1.0486395540829e-95,"0","Has1"
"Col1a2",1.88670746375528e-99,1.22748367353703,0.65,0.609,4.09887196500835e-95,"0","Col1a2"
"Hspa5",6.18187992939139e-99,0.579902053904966,0.843,0.789,1.34301341466028e-94,"0","Hspa5"
"Lama2",1.00038333899153e-98,1.73510360712568,0.307,0.137,2.17333280395911e-94,"0","Lama2"
"Bhlhe40",4.01298567755882e-98,1.14003686082058,0.58,0.452,8.71821138449654e-94,"0","Bhlhe40"
"Vcam1",1.158480894878e-97,1.81159816808812,0.277,0.113,2.51679974412245e-93,"0","Vcam1"
"Gpm6b",3.69464060986087e-96,1.94558189594446,0.212,0.067,8.02660672492274e-92,"0","Gpm6b"
"Fmo2",4.11023838707845e-96,1.70546376263779,0.233,0.081,8.92949289592792e-92,"0","Fmo2"
"Cilp",7.027924616667e-94,2.62516391050739,0.165,0.042,1.52681662297091e-89,"0","Cilp"
"Abca8b",2.44545154592299e-93,2.36086400389248,0.158,0.038,5.31274348351771e-89,"0","Abca8b"
"Srgn",6.06230054751521e-93,2.09098675463785,0.183,0.052,1.31703479394768e-88,"0","Srgn"
"Rbp1",2.04395808219353e-92,1.85945332309979,0.285,0.125,4.44049893356545e-88,"0","Rbp1"
"Plxdc2",5.21958036377211e-92,1.99400331448487,0.221,0.077,1.13395383402949e-87,"0","Plxdc2"
"Tpt1",3.38731315788167e-91,0.369022760503444,0.993,0.962,7.35893783549793e-87,"0","Tpt1"
"Prg4",1.5437380115345e-90,1.78956186929787,0.232,0.085,3.3537708300587e-86,"0","Prg4"
"Rian",1.12424368495886e-86,1.98405509713046,0.166,0.045,2.44241940557313e-82,"0","Rian"
"Cd74",1.89206304599512e-86,2.10375160609635,0.192,0.061,4.11050696742439e-82,"0","Cd74"
"Cdh5",1.59105198379155e-85,2.09712671008403,0.151,0.037,3.45656043478713e-81,"0","Cdh5"
"Gem",1.76269645955584e-85,0.849270494391689,0.626,0.485,3.82945805838507e-81,"0","Gem"
"Mfap4",6.52713583067814e-83,2.0974151017898,0.17,0.049,1.41802025921483e-78,"0","Mfap4"
"Ifi211",1.30184106640578e-82,2.14500926980934,0.158,0.043,2.82824971676656e-78,"0","Ifi211"
"Thbs1",9.04608866142929e-81,0.463253718017108,0.819,0.656,1.96526276169551e-76,"0","Thbs1"
"Ms4a4d",7.16793860067946e-80,2.22746120667124,0.154,0.042,1.55723466099761e-75,"0","Ms4a4d"
"Ifitm3",1.52148111447161e-78,0.794170004719104,0.735,0.757,3.30541772118957e-74,"0","Ifitm3"
"Junb",3.39301152518647e-78,0.372839869661548,0.976,0.856,7.3713175384676e-74,"0","Junb"
"Nnmt",3.92337846156608e-78,2.16993372906952,0.155,0.044,8.52353970775231e-74,"0","Nnmt"
"Nav1",4.85214803859572e-78,1.70695681983062,0.216,0.083,1.05412916138492e-73,"0","Nav1"
"Flt1",1.00414763777078e-77,1.94709570418997,0.199,0.072,2.18151074305702e-73,"0","Flt1"
"Serping1",1.41154043919481e-77,1.08584736484366,0.654,0.657,3.06657160415073e-73,"0","Serping1"
"Rps12",1.57702690385177e-77,0.507739056986265,0.901,0.88,3.42609094861797e-73,"0","Rps12"
"Zfp36l1",1.96284075216014e-77,0.468315010696665,0.871,0.819,4.2642715340679e-73,"0","Zfp36l1"
"Rnase4",1.5622966097976e-76,1.60467256066105,0.337,0.193,3.39408938478528e-72,"0","Rnase4"
"Gm12840",3.53005932504102e-76,0.368877632623242,0.81,0.61,7.66905388365161e-72,"0","Gm12840"
"Prex2",2.55440453182613e-73,2.12705160494528,0.152,0.044,5.54944384539226e-69,"0","Prex2"
"Podxl",5.51441031067835e-73,2.15464827945714,0.134,0.034,1.19800563999487e-68,"0","Podxl"
"Gas1",9.07638644097385e-73,1.74834005856713,0.324,0.185,1.97184495430157e-68,"0","Gas1"
"Adgrf5",6.85721828251007e-72,1.98240642318879,0.151,0.044,1.48973067187531e-67,"0","Adgrf5"
"Thbd",9.09753350381177e-72,1.89432926787174,0.228,0.098,1.97643915370311e-67,"0","Thbd"
"Pdpn",1.68599151766607e-71,2.42654529229286,0.121,0.028,3.66281657212955e-67,"0","Pdpn"
"Olfml3",2.89197101484532e-71,2.04776978700981,0.154,0.047,6.28280702975146e-67,"0","Olfml3"
"Myoc",1.03126666077363e-70,2.39551645608243,0.122,0.029,2.24042682053072e-66,"0","Myoc"
"Lrp1",1.74119491019941e-70,1.26668827683091,0.532,0.468,3.78274594240822e-66,"0","Lrp1"
"Mgst1",4.34652450193954e-70,1.88636290464499,0.168,0.056,9.44282448046365e-66,"0","Mgst1"
"Zbtb20",6.75789557856107e-70,0.509935756905437,0.817,0.803,1.46815281444239e-65,"0","Zbtb20"
"Igfbp3",2.2329900663363e-67,2.67612737847655,0.108,0.024,4.85117091911562e-63,"0","Igfbp3"
"S1pr1",6.18151001758117e-67,2.08217465800565,0.13,0.036,1.34293305131951e-62,"0","S1pr1"
"Cldn5",1.21652162803315e-64,1.83743390400345,0.154,0.05,2.64289323690201e-60,"0","Cldn5"
"Thsd7a",6.26637251395492e-64,2.23383194900164,0.127,0.035,1.36136942865671e-59,"0","Thsd7a"
"Entpd2",8.54692050413005e-64,1.84282129780763,0.149,0.048,1.85681847952225e-59,"0","Entpd2"
"Hk2",9.51297437245234e-64,0.982451260650941,0.527,0.427,2.06669368241527e-59,"0","Hk2"
"Slfn5",1.09327452754953e-63,1.717274655441,0.257,0.131,2.37513891110136e-59,"0","Slfn5"
"Ccdc152",2.91405651777042e-63,2.26641047164324,0.11,0.026,6.33078778485625e-59,"0","Ccdc152"
"Enpp2",6.08679784474124e-63,2.24095196491086,0.135,0.041,1.32235683177003e-58,"0","Enpp2"
"Cd55",1.25378866798228e-62,2.27520076971264,0.118,0.031,2.72385588119151e-58,"0","Cd55"
"Ifi204",1.43591451274369e-62,2.18503206787467,0.119,0.031,3.11952427893566e-58,"0","Ifi204"
"Ier5",1.1042449324226e-61,0.936304355329167,0.559,0.481,2.3989721156881e-57,"0","Ier5"
"Cygb",2.00996447547968e-61,1.4856211998301,0.361,0.238,4.3666478229796e-57,"0","Cygb"
"Ifrd1",2.35623855411157e-60,0.427277042171868,0.816,0.711,5.11892825880739e-56,"0","Ifrd1"
"H2-Aa",3.71738879044262e-59,2.20828846589678,0.12,0.034,8.0760271472366e-55,"0","H2-Aa"
"Hsd11b1",4.17738289909424e-59,1.76424743831053,0.165,0.062,9.07536434828224e-55,"0","Hsd11b1"
"Lpar1",8.76982948185627e-59,2.23219258657516,0.11,0.028,1.90524545493328e-54,"0","Lpar1"
"Pcsk6",1.21850653484044e-58,1.77548044962113,0.31,0.193,2.64720544694085e-54,"0","Pcsk6"
"Jund",6.61137358174419e-58,0.315516858130483,0.958,0.877,1.43632091063392e-53,"0","Jund"
"Mmp3",5.0260847611436e-57,2.48519783112789,0.126,0.039,1.09191691435845e-52,"0","Mmp3"
"Pecam1",1.1378105353661e-56,1.54963018575454,0.181,0.074,2.47189338808284e-52,"0","Pecam1"
"Tcf4",1.27220474670249e-56,0.775151295131373,0.618,0.612,2.76386481221116e-52,"0","Tcf4"
"Cxcl14",1.33619646651262e-56,1.87021652393813,0.152,0.055,2.90288682349866e-52,"0","Cxcl14"
"Aldh1a1",4.88896576552299e-56,1.56138973572086,0.167,0.065,1.06212781255987e-51,"0","Aldh1a1"
"Cytl1",7.13091443369901e-56,1.90009983908247,0.146,0.051,1.54919116072111e-51,"0","Cytl1"
"Ramp2",8.53877307407217e-56,1.63949961515712,0.128,0.04,1.85504845034218e-51,"0","Ramp2"
"Clic4",1.69977758551654e-55,0.497257994834165,0.796,0.791,3.69276680453468e-51,"0","Clic4"
"Phlda1",2.23283660790033e-55,1.31607559045779,0.334,0.213,4.85083753066347e-51,"0","Phlda1"
"Pakap.1",7.81035601304489e-55,0.751825669651692,0.687,0.704,1.696799843834e-50,"0","Pakap.1"
"Abi3bp",3.71006220605585e-54,1.8410497897733,0.174,0.072,8.06011014265633e-50,"0","Abi3bp"
"Sntb2",7.37651586691295e-54,1.51649283524421,0.329,0.218,1.60254807208684e-49,"0","Sntb2"
"H2-Eb1",7.4641362909748e-54,2.30783739772065,0.105,0.028,1.62158360921428e-49,"0","H2-Eb1"
"Aebp1",2.09875413201304e-53,1.7434901019441,0.21,0.102,4.55954335179834e-49,"0","Aebp1"
"Zfp36",2.666572617496e-53,0.332011900915028,0.888,0.79,5.79312901151007e-49,"0","Zfp36"
"Fabp4",3.40755942069951e-53,0.716171541624808,0.531,0.41,7.40292284146969e-49,"0","Fabp4"
"Fxyd6",1.42343253837063e-52,2.06949216208746,0.117,0.036,3.0924071896102e-48,"0","Fxyd6"
"Sox9",7.1875607761111e-52,1.88485665436187,0.163,0.066,1.56149757861014e-47,"0","Sox9"
"Akap12",9.17351204268149e-52,0.68538196756927,0.555,0.457,1.99294549127255e-47,"0","Akap12"
"Ablim1",1.6211230029002e-51,1.83091433622953,0.155,0.061,3.52188972380069e-47,"0","Ablim1"
"Mcl1",6.26937052467741e-51,0.576174816387686,0.702,0.676,1.36202074648617e-46,"0","Mcl1"
"Scara5",2.03270926194851e-50,2.17651101492509,0.114,0.036,4.41606087158314e-46,"0","Scara5"
"Rplp1",4.16489800746453e-50,0.345934697402618,0.942,0.911,9.04824092121669e-46,"0","Rplp1"
"Skil",1.45235360112461e-49,0.916088760215819,0.554,0.521,3.15523819844322e-45,"0","Skil"
"Cd36",8.02526582460038e-49,1.39374500200808,0.224,0.115,1.74348900039443e-44,"0","Cd36"
"App",1.09308312849573e-48,0.965615783842344,0.585,0.616,2.37472309665697e-44,"0","App"
"Col5a2",2.89882375569603e-48,1.58968505967918,0.249,0.141,6.29769460924962e-44,"0","Col5a2"
"Fyn",5.67255875255281e-48,1.97025325739808,0.122,0.042,1.2323633889921e-43,"0","Fyn"
"Cebpb",1.01043560027226e-47,0.250168274601441,0.9,0.755,2.19517134159148e-43,"0","Cebpb"
"Itgbl1",2.19039753795069e-47,2.16541117793718,0.124,0.044,4.75863865119788e-43,"0","Itgbl1"
"Colec12",2.53383572650366e-47,1.95785413634894,0.14,0.055,5.50475811582921e-43,"0","Colec12"
"Uap1",3.97577725734417e-47,0.687027755373184,0.587,0.515,8.63737609158021e-43,"0","Uap1"
"Ogn",4.51621312183652e-47,0.671163101847845,0.527,0.403,9.81147300718984e-43,"0","Ogn"
"Rpsa",7.77869204324451e-47,0.430336450759039,0.845,0.839,1.68992084639487e-42,"0","Rpsa"
"Selenop",1.17028776506894e-46,1.47854337875112,0.404,0.33,2.54245016961226e-42,"0","Selenop"
"Trf",2.30346374273267e-46,2.26169884405142,0.104,0.032,5.00427498108672e-42,"0","Trf"
"Add3",2.65590726829858e-46,2.01221809036837,0.166,0.074,5.76995854037867e-42,"0","Add3"
"Rps27",1.2976733268267e-45,0.37631441915028,0.906,0.88,2.81919530253101e-41,"0","Rps27"
"Timp1",1.9408675813356e-45,1.85440000836947,0.157,0.068,4.21653482045159e-41,"0","Timp1"
"Ctsl",2.65255186677858e-44,1.00243280117719,0.547,0.545,5.76266893057646e-40,"0","Ctsl"
"Matn2",4.58703855525729e-44,1.95564905039772,0.129,0.05,9.96534126129646e-40,"0","Matn2"
"Ier3",6.97174895272748e-44,0.607443602344809,0.65,0.612,1.51461245998004e-39,"0","Ier3"
"Apod",2.17907962554365e-43,2.042229725594,0.115,0.041,4.73405048649359e-39,"0","Apod"
"Itm2a",3.7146748425443e-43,1.96216236375547,0.111,0.038,8.0701310954275e-39,"0","Itm2a"
"Socs3",6.45907628658507e-43,0.404690618637004,0.734,0.631,1.40323432326061e-38,"0","Socs3"
"Rpl13",1.36497933748242e-42,0.314450472188454,0.94,0.902,2.96541761068055e-38,"0","Rpl13"
"Nfkb1",4.61682258527394e-42,1.05864512241893,0.4,0.319,1.00300470665076e-37,"0","Nfkb1"
"H2-Ab1",8.81864757088769e-42,2.11537806919161,0.109,0.038,1.91585118477535e-37,"0","H2-Ab1"
"Hmox1",3.3168599146979e-41,1.23537933345964,0.369,0.279,7.20587816468118e-37,"0","Hmox1"
"Lama4",5.30398829477379e-41,1.58456831028238,0.197,0.104,1.15229145703961e-36,"0","Lama4"
"Rpl18a",1.06209942943603e-40,0.375150392224006,0.872,0.865,2.30741101044977e-36,"0","Rpl18a"
"Rps19",1.41519911537632e-40,0.404634427162725,0.844,0.841,3.07452007815505e-36,"0","Rps19"
"Rps28",4.61495333634158e-40,0.451247111607892,0.827,0.833,1.00259861232021e-35,"0","Rps28"
"Adamts5",8.89130344740654e-40,1.44067604064443,0.344,0.263,1.93163567394907e-35,"0","Adamts5"
"Scd1",2.0166642705717e-39,2.09895114446505,0.104,0.037,4.38120312781702e-35,"0","Scd1"
"H2-K1",2.76420187323279e-39,0.891130498890106,0.515,0.498,6.00522856959824e-35,"0","H2-K1"
"Klf6",8.50241436384338e-39,0.468195902658195,0.669,0.638,1.84714952054497e-34,"0","Klf6"
"Cd302",1.17683133986601e-38,1.58874493962836,0.206,0.115,2.55666608585891e-34,"0","Cd302"
"Jmjd1c",1.63696400690929e-38,0.514181108777784,0.614,0.602,3.55630430501042e-34,"0","Jmjd1c"
"Dkk3",2.01846076001607e-38,1.63297544290694,0.124,0.05,4.38510600113492e-34,"0","Dkk3"
"Col6a3",1.10061177511607e-37,1.61159548811777,0.221,0.131,2.39107908143966e-33,"0","Col6a3"
"H3f3b",4.33267807790643e-37,0.277667399816058,0.954,0.911,9.41274312425173e-33,"0","H3f3b"
"Col5a1",4.6410203122111e-37,1.67072821191573,0.163,0.081,1.00826166282786e-32,"0","Col5a1"
"Pnp",2.80024127894604e-36,0.996422275868758,0.509,0.493,6.08352417851027e-32,"0","Pnp"
"Sash1",3.64119209309791e-36,1.00548760220674,0.38,0.291,7.9104898222552e-32,"0","Sash1"
"Lsp1",5.85482899854705e-36,1.73333552880568,0.103,0.038,1.27196159993435e-31,"0","Lsp1"
"Timp2",7.79978730329334e-36,0.911981463598425,0.582,0.638,1.69450379164048e-31,"0","Timp2"
"Btg1",1.06968782048311e-35,0.351715603692921,0.777,0.778,2.32389678999957e-31,"0","Btg1"
"Kctd12",2.15380992544932e-34,1.47226781165248,0.151,0.073,4.67915206303864e-30,"0","Kctd12"
"Lamp2",5.94854240040536e-34,0.773151109063044,0.539,0.552,1.29232083648806e-29,"0","Lamp2"
"Rps29",6.10226272274197e-34,0.295228833890095,0.942,0.917,1.32571657651569e-29,"0","Rps29"
"Trib1",7.21587152585848e-34,1.29719454033546,0.363,0.296,1.56764808899276e-29,"0","Trib1"
"Ifi203",2.07022261553558e-33,1.22039230984199,0.321,0.243,4.49755863225106e-29,"0","Ifi203"
"Ak3",2.12697832926991e-33,0.276877141700192,0.106,0.23,4.62086042033889e-29,"0","Ak3"
"Rbbp4",8.85714969496757e-33,0.262310585242984,0.2,0.378,1.9242157712317e-28,"0","Rbbp4"
"Alyref",1.23263011218559e-32,0.291804328495645,0.116,0.244,2.67788891872319e-28,"0","Alyref"
"Serpina3n",7.62859688953111e-32,1.546741672313,0.134,0.063,1.65731267425063e-27,"0","Serpina3n"
"Rnf130",9.84341584014345e-32,0.261515248275622,0.121,0.249,2.13848209127117e-27,"0","Rnf130"
"Nop58",1.15300760407832e-31,0.539819978583763,0.591,0.55,2.50490901986014e-27,"0","Nop58"
"Nfkbiz",1.38064467416431e-31,0.671713501568713,0.496,0.438,2.99945055462197e-27,"0","Nfkbiz"
"Spon1",1.42552712028921e-31,1.70090431494814,0.133,0.063,3.09695766882831e-27,"0","Spon1"
"Fstl1",1.61405642041091e-31,0.755256393510635,0.606,0.656,3.5065375733427e-27,"0","Fstl1"
"Gm26917",2.65927616234568e-31,0.299399361425487,0.483,0.395,5.77727746269598e-27,"0","Gm26917"
"Dnm3os",5.46874709439386e-31,1.80434479640444,0.127,0.059,1.18808530625707e-26,"0","Dnm3os"
"Sat1",1.20512594538547e-30,0.59536745963155,0.528,0.498,2.61813611634993e-26,"0","Sat1"
"Ube2d3",5.61470561367001e-30,0.335967472286747,0.691,0.764,1.21979479456981e-25,"0","Ube2d3"
"Txndc15",1.27962094532589e-29,0.307274009850702,0.068,0.164,2.77997650372049e-25,"0","Txndc15"
"Fn1",2.24603093848161e-29,1.25435586113843,0.218,0.137,4.8795022138513e-25,"0","Fn1"
"Ddx3x",3.60119071000389e-29,0.302556736248281,0.771,0.762,7.82358681748344e-25,"0","Ddx3x"
"Ssr4",3.78036077937661e-29,0.336753472399602,0.234,0.424,8.21283379319569e-25,"0","Ssr4"
"Erp44",7.47101385899353e-29,0.264017646441181,0.108,0.224,1.62307776086634e-24,"0","Erp44"
"Sec24d",1.49494882692079e-28,0.29699660722069,0.131,0.259,3.24777632648542e-24,"0","Sec24d"
"Lyz2",1.52996965328122e-28,2.16019214528989,0.101,0.043,3.32385907175345e-24,"0","Lyz2"
"Eif2s1",1.74947387477923e-28,0.280758239534967,0.125,0.25,3.80073199295787e-24,"0","Eif2s1"
"Myc",2.460770672818e-28,1.23665640270882,0.297,0.225,5.34602428669711e-24,"0","Myc"
"Rps24",2.48372319814863e-28,0.267263448131822,0.927,0.894,5.39588864797789e-24,"0","Rps24"
"Fbn1",2.86521056692921e-28,1.58605641566526,0.331,0.277,6.22466995665371e-24,"0","Fbn1"
"Tmed9",3.87035906863292e-28,0.258653836368596,0.23,0.416,8.40835507660502e-24,"0","Tmed9"
"Cfdp1",4.91099761641483e-28,0.275488730123586,0.152,0.289,1.06691423216612e-23,"0","Cfdp1"
"Ostc",5.31368218010156e-28,0.360967295015214,0.13,0.256,1.15439745362706e-23,"0","Ostc"
"Taf10",2.19802767127153e-27,0.323893580768374,0.096,0.202,4.7752151158374e-23,"0","Taf10"
"Prdx4",2.57102355762922e-27,0.382284159389889,0.167,0.313,5.58554867894948e-23,"0","Prdx4"
